French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
